ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 163657, 179045, 814416, 185584, 163657, 778196, 221804, 576940, 681100, 741377,PHILADELPHIA
 372405, 391828, 596591, 403409, 372405, 614318, 385682, 597115, 411365, 722033,ALLEGHENY
 372566, 361454, 629470, 370530, 372566, 613379, 386621, 444440, 580455, 327931,DELAWARE
 396509, 363535, 626299, 373701, 396509, 593260, 406740, 335130, 665195, 510157,MONTGOMERY
 407235, 453461, 537137, 462863, 407235, 580313, 419687, 731130, 284120, 115410,LACKAWANNA
 435405, 408789, 579875, 420125, 435405, 558600, 441400, 366920, 606375, 314502,CHESTER
 449235, 461964, 525593, 474407, 449235, 533979, 466021, 563645, 458070,  83829,MONROE
 461358, 456161, 532111, 467889, 461358, 524245, 475755, 474015, 539330, 184713,LEHIGH
 468656, 450627, 535957, 464043, 468656, 512051, 487949, 409855, 619530, 147368,DAUPHIN
 478410, 487799, 498136, 501864, 478410, 499142, 500858, 546945, 494970, 137083,ERIE
 484323, 566973, 423118, 576882, 484323, 433554, 566446, 913250, 447820, 153321,LUZERNE
 489411, 490540, 497753, 502247, 489411, 486205, 513795, 505645, 557740, 170942,NORTHAMPTON
 510820, 469358, 516885, 483115, 510820, 477307, 522693, 292690, 697890,  77493,CENTRE
 529220, 533891, 451955, 548045, 529220, 455575, 544425, 523355, 481900, 205540,BERKS
 568429, 472869, 516644, 483356, 568429, 422762, 577238,  22200, 969410, 396234,BUCKS
 574229, 545301, 439598, 560402, 574229, 416158, 583842, 355360, 617200, 141595,CUMBERLAND
 578147, 590188, 399920, 600080, 578147, 409074, 590926, 560205, 454230,  32554,PIKE
 578886, 581787, 405027, 594973, 578886, 419646, 580354, 514505, 426905,  94122,BEAVER
 597622, 571687, 413386, 586614, 597622, 391833, 608167, 370325, 607765, 280239,LANCASTER
 604394, 679911, 307684, 692316, 604394, 304661, 695339, 877585, 515115,  42004,CRAWFORD
 623119, 608382, 380560, 619440, 623119, 364472, 635528, 426315, 580440, 118478,WASHINGTON
 626436, 615307, 369495, 630505, 626436, 362832, 637168, 444355, 533315, 238471,YORK
 628895, 642351, 346774, 653226, 628895, 357756, 642244, 567280, 445090,  46076,LAWRENCE
 631535, 623649, 363512, 636488, 631535, 358974, 641026, 460570, 522690,  57954,MERCER
 636690, 663498, 327209, 672791, 636690, 351703, 648297, 634040, 377530,  28089,WAYNE
 639051, 663464, 329004, 670996, 639051, 333027, 666973, 622065, 479885,  62139,FAYETTE
 643025, 598096, 385937, 614063, 643025, 345716, 654284, 275355, 701105,   9771,MONTOUR
 644606, 636150, 352369, 647631, 644606, 340219, 659781, 457720, 560750, 204697,WESTMORELAND
 656922, 614267, 371613, 628387, 656922, 333035, 666965, 286725, 692890,  20115,UNION
 660947, 653721, 333402, 666598, 660947, 320199, 679801, 463870, 566015,  33629,CARBON
 667252, 652193, 334003, 665997, 667252, 315497, 684503, 424705, 592530,  71652,LEBANON
 670270, 644765, 337878, 662122, 670270, 316351, 683649, 372475, 607635,  31171,COLUMBIA
 672335, 656272, 331035, 668965, 672335, 313428, 686572, 419685, 588035, 113305,BUTLER
 672584, 681341, 307903, 692097, 672584, 316178, 683822, 543785, 458625,  70574,CAMBRIA
 674910, 711924, 277944, 722056, 674910, 296904, 703096, 685070, 405200,  17669,GREENE
 677909, 663654, 322019, 677981, 677909, 306844, 693156, 428725, 575875,  56540,ADAMS
 680931, 681804, 306665, 693335, 680931, 302102, 697898, 504365, 522815,  41198,INDIANA
 683404, 675290, 312170, 687830, 683404, 300482, 699518, 459430, 558440,  17625,CLINTON
 688058, 692194, 293571, 706429, 688058, 296871, 703129, 520680, 483500,  70603,SCHUYLKILL
 692354, 668730, 316597, 683403, 692354, 287521, 712479, 381880, 645380,  14858,WYOMING
 703107, 699108, 286686, 713314, 703107, 262136, 737864, 480005, 622750,  21752,SUSQUEHANNA
 708232, 689443, 293753, 706247, 708232, 273607, 726393, 406055, 600730,  20650,WARREN
 709930, 684719, 299813, 700187, 709930, 276281, 723719, 373945, 617660,  42283,NORTHUMBERLAND
 720807, 708626, 277558, 722442, 720807, 263087, 736913, 439095, 572355,  80783,FRANKLIN
 723866, 699733, 286411, 713589, 723866, 263678, 736322, 379335, 613665,  59254,LYCOMING
 725836, 699977, 285924, 714076, 725836, 262892, 737108, 370705, 615160,  26528,VENANGO
 730914, 711262, 275132, 724868, 730914, 258503, 741497, 401740, 583145,   2646,FOREST
 732962, 728511, 256189, 743811, 732962, 247844, 752156, 477745, 541725,   3595,SULLIVAN
 736761, 716204, 266786, 733214, 736761, 241354, 758646, 397215, 627160,  30159,BRADFORD
 738171, 712414, 277317, 722683, 738171, 255413, 744587, 371215, 609520,  63595,BLAIR
 740555, 755815, 232526, 767474, 740555, 237255, 762745, 576300, 476355,  36370,ARMSTRONG
 745001, 718088, 267479, 732521, 745001, 245770, 754230, 365435, 608545,  16906,ELK
 752632, 748552, 238899, 761101, 752632, 229290, 770710, 479600, 548045,  22792,HUNTINGDON
 754905, 723466, 261892, 738108, 754905, 233278, 766722, 342805, 643070,  19466,McKEAN
 760664, 746951, 235112, 764888, 760664, 219454, 780546, 431435, 578290,  21075,TIOGA
 761706, 740779, 245370, 754630, 761706, 227258, 772742, 395365, 590560,  39422,CLEARFIELD
 764585, 727608, 260476, 739524, 764585, 228430, 771570, 315115, 660230,   2434,CAMERON
 772351, 742049, 241359, 758641, 772351, 213167, 786833, 348490, 640960,  24652,PERRY
 772636, 747858, 239983, 760017, 772636, 218078, 781922, 376110, 609525,  19493,CLARION
 775226, 776114, 213452, 786548, 775226, 218114, 781886, 504440, 476690,  40543,SOMERSET
 776227, 730564, 256530, 743470, 776227, 215987, 784013, 271685, 702715,  19140,SNYDER
 782531, 775276, 214073, 785927, 782531, 200585, 799415, 463725, 567440,  21502,MIFFLIN
 804832, 798654, 190423, 809577, 804832, 181928, 818072, 469110, 542475,   9064,POTTER
 810199, 786890, 198343, 801657, 810199, 180424, 819576, 383455, 589595,  22824,JEFFERSON
 810844, 801212, 187079, 812921, 810844, 174707, 825293, 451840, 561860,  12043,JUNIATA
 837818, 835025, 158373, 841627, 837818, 153550, 846450, 486035, 524115,  27574,BEDFORD
 850319, 855459, 136016, 863984, 850319, 132255, 867745, 525700, 518805,   7977,FULTON
